algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,98.724349,0.007840,0.167732
P256,97.708588,0.008500,0.162682
P256,97.880937,0.008350,0.179332
P256,99.135333,0.007400,0.167412
P256,98.814897,0.008200,0.212293
P256,97.535283,0.008030,0.150282
P256,97.074966,0.008160,0.179772
P256,97.774436,0.009280,0.184252
P256,98.343414,0.008460,0.390054
P256,96.899836,0.009121,0.194301
P256,97.868857,0.003810,0.114781
P256,98.117821,0.009820,0.178211
P256,96.706825,0.007530,0.191772
P256,98.065431,0.008930,0.186912
P256,98.377703,0.009290,0.190402
P256,96.857254,0.007890,0.177791
P256,98.845755,0.007190,0.173382
P256,97.624895,0.007560,0.163112
P256,97.204678,0.007570,0.181972
P256,99.100430,0.008360,0.196133
P256,98.342392,0.007500,0.201142
P256,97.991404,0.009470,0.208202
P256,98.101057,0.007810,0.151431
P256,97.002249,0.008380,0.178642
P256,98.109535,0.009250,0.175012
P256,97.428338,0.013950,0.212402
P256,98.326007,0.009340,0.160141
P256,97.822222,0.005980,0.137551
P256,97.917833,0.008500,0.163802
P256,98.829494,0.014140,0.283952
P256,98.045504,0.009331,0.167032
P256,96.860100,0.009470,0.203903
P256,98.158594,0.009710,0.237932
P256,97.410937,0.007920,0.157022
P256,98.100626,0.005540,0.158162
P256,98.350604,0.008740,0.190641
P256,97.621647,0.008500,0.150642
P256,97.951940,0.007190,0.163272
P256,98.045816,0.009570,0.173132
P256,98.864500,0.012050,0.191063
P256,98.051245,0.008980,0.186792
P256,97.993194,0.009690,0.168942
P256,97.817407,0.007340,0.198122
P256,98.045993,0.008310,0.159852
P256,97.894962,0.009210,0.191333
P256,97.855180,0.008200,0.169652
P256,96.889369,0.009120,0.188952
P256,97.756047,0.008670,0.200452
P256,96.916087,0.007290,0.184782
P256,97.765475,0.007910,0.173742
P256,97.705772,0.010350,0.185722
P256,98.920378,0.009270,0.206073
P256,98.203415,0.007770,0.169572
